"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO3","04.01.2021 00:00 - 04.01.2021 01:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","60","2398","n/e","n/e","0","11","n/e","3","n/e","40"
"BZN|NO3","04.01.2021 01:00 - 04.01.2021 02:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","59","2359","n/e","n/e","0","11","n/e","1","n/e","73"
"BZN|NO3","04.01.2021 02:00 - 04.01.2021 03:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","59","2383","n/e","n/e","0","10","n/e","0","n/e","114"
"BZN|NO3","04.01.2021 03:00 - 04.01.2021 04:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","58","2434","n/e","n/e","0","11","n/e","1","n/e","120"
"BZN|NO3","04.01.2021 04:00 - 04.01.2021 05:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","59","2523","n/e","n/e","0","10","n/e","2","n/e","111"
"BZN|NO3","04.01.2021 05:00 - 04.01.2021 06:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","61","2581","n/e","n/e","0","9","n/e","3","n/e","111"
"BZN|NO3","04.01.2021 06:00 - 04.01.2021 07:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","64","2633","n/e","n/e","0","10","n/e","4","n/e","105"
"BZN|NO3","04.01.2021 07:00 - 04.01.2021 08:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","69","2694","n/e","n/e","0","13","n/e","5","n/e","149"
"BZN|NO3","04.01.2021 08:00 - 04.01.2021 09:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","70","2721","n/e","n/e","0","11","n/e","5","n/e","182"
"BZN|NO3","04.01.2021 09:00 - 04.01.2021 10:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","71","2781","n/e","n/e","0","9","n/e","5","n/e","149"
"BZN|NO3","04.01.2021 10:00 - 04.01.2021 11:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","72","2813","n/e","n/e","0","10","n/e","5","n/e","117"
"BZN|NO3","04.01.2021 11:00 - 04.01.2021 12:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","72","2824","n/e","n/e","0","9","n/e","5","n/e","130"
"BZN|NO3","04.01.2021 12:00 - 04.01.2021 13:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","72","2816","n/e","n/e","0","9","n/e","5","n/e","142"
"BZN|NO3","04.01.2021 13:00 - 04.01.2021 14:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","77","2812","n/e","n/e","0","10","n/e","5","n/e","102"
"BZN|NO3","04.01.2021 14:00 - 04.01.2021 15:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","77","2833","n/e","n/e","0","10","n/e","5","n/e","88"
"BZN|NO3","04.01.2021 15:00 - 04.01.2021 16:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","74","2860","n/e","n/e","0","13","n/e","5","n/e","111"
"BZN|NO3","04.01.2021 16:00 - 04.01.2021 17:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","75","2874","n/e","n/e","0","11","n/e","5","n/e","103"
"BZN|NO3","04.01.2021 17:00 - 04.01.2021 18:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","74","2865","n/e","n/e","0","9","n/e","5","n/e","89"
